,Timestamp,Ground_truth,Predicted_value
1553,35.426,Walk,Stand
1554,35.445,Walk,Stand
1555,35.467,Walk,Stand
1556,35.489,Walk,Stand
1557,35.511,Walk,Walk
1558,35.533,Walk,Stand
1559,35.555,Walk,Stand
1560,35.577,Walk,Stand
1561,35.599,Walk,Stand
1562,35.621,Walk,Stand
1563,35.643,Walk,Stand
1564,35.666,Walk,Stand
1565,35.687,Walk,Stand
1566,35.71,Walk,Stand
1567,35.732,Walk,Stand
1568,35.753,Walk,Stand
1569,35.777,Walk,Stand
1570,35.798,Walk,Stand
1571,35.819,Walk,Stand
1572,35.843,Walk,Stand
1573,35.863,Walk,Stand
1574,35.891,Walk,Stand
1575,35.915,Walk,Stand
1576,35.934,Walk,Start to walk
1577,35.955,Walk,Start to walk
1578,35.98,Walk,Start to walk
1579,36,Walk,Start to walk
1580,36.023,Walk,Start to walk
1581,36.045,Walk,Start to walk
1582,36.065,Walk,Start to walk
1583,36.088,Walk,Start to walk
1584,36.11,Walk,Start to walk
1585,36.132,Walk,Start to walk
1586,36.155,Walk,Start to walk
1587,36.176,Walk,Stand
1588,36.198,Walk,Stand
1589,36.224,Walk,Stand
1590,36.242,Walk,Stand
1591,36.264,Walk,Stand
1592,36.286,Walk,Stand
1593,36.309,Walk,Stand
1594,36.331,Walk,Stand
1595,36.353,Walk,Stand
1596,36.375,Walk,Stand
1597,36.397,Walk,Stand
1598,36.42,Walk,Stand
1599,36.441,Walk,Stand
1600,36.463,Walk,Stand
1601,36.485,Walk,Stand
1602,36.507,Walk,Stand
1603,36.529,Walk,Stand
1604,36.551,Walk,Stand
1605,36.573,Walk,Stand
1606,36.596,Walk,Stand
1607,36.618,Walk,Stand
1608,36.64,Walk,Stand
1609,36.662,Walk,Stand
1610,36.684,Walk,Stand
1611,36.706,Walk,Stand
1612,36.728,Walk,Stand
1613,36.75,Walk,Stand
1614,36.772,Walk,Stand
1615,36.794,Walk,Stand
1616,36.816,Walk,Stand
1617,36.838,Walk,Stand
1618,36.86,Walk,Stand
1619,36.88,Walk,Stand
1620,36.902,Walk,Stand
1621,36.924,Walk,Stand
1622,37.16,Walk,Stand
1623,37.181,Walk,Stand
1624,37.203,Walk,Stand
1625,37.225,Walk,Stand
1626,37.247,Walk,Stand
1627,37.269,Stand,Stand
1628,37.291,Stand,Stand
1629,37.314,Stand,Stand
1630,37.335,Stand,Stand
1631,37.358,Stand,Stand
1632,37.38,Stand,Stand
1633,37.401,Stand,Stand
1634,37.423,Stand,Stand
1635,37.445,Stand,Stand
1636,37.468,Stand,Stand
1637,37.489,Stand,Stand
1638,37.512,Stand,Stand
1639,37.533,Stand,Stand
1640,37.556,Stand,Stand
1641,37.577,Stand,Stand
1642,37.6,Stand,Stand
1643,37.622,Stand,Stand
1644,37.643,Stand,Stand
1645,37.666,Stand,Stand
1646,37.688,Stand,Stand
1647,37.71,Stand,Stand
1648,37.732,Stand,Stand
1649,37.754,Stand,Stand
1650,37.776,Stand,Stand
1651,37.798,Stand,Stand
1652,37.82,Stand,Stand
1653,37.843,Stand,Stand
1654,37.864,Stand,Stand
1655,37.886,Stand,Stand
1656,37.911,Stand,Stand
1657,37.93,Stand,Stand
1658,37.953,Stand,Stand
1659,37.975,Stand,Stand
1660,37.997,Stand,Stand
1661,38.019,Stand,Stand
1662,38.041,Stand,Walk
1663,38.062,Stand,Stand
1664,38.084,Stand,Stand
1665,38.106,Stand,Stand
1666,38.129,Stand,Stand
1667,38.151,Stand,Stand
1668,38.173,Stand,Stand
1669,38.194,Stand,Stand
1670,38.216,Stand,Stand
1671,38.239,Stand,Stand
1672,38.261,Stand,Stand
1673,38.283,Stand,Stand
1674,38.305,Stand,Stand
1675,38.327,Stand,Stand
1676,38.349,Stand,Stand
1677,38.371,Stand,Stand
1678,38.393,Stand,Stand
1679,38.416,Stand,Stand
1680,38.437,Stand,Stand
1681,38.459,Stand,Stand
1682,38.481,Stand,Stand
1683,38.503,Stand,Stand
1684,38.525,Stand,Stand
1685,38.547,Stand,Stand
1686,38.569,Stand,Stand
1687,38.592,Stand,Stand
1688,38.613,Stand,Stand
1689,38.636,Stand,Stand
1690,38.658,Stand,Stand
1691,38.68,Stand,Stand
1692,38.702,Stand,Stand
1693,38.724,Stand,Stand
1694,38.746,Stand,Stand
1695,38.768,Stand,Stand
1696,38.79,Stand,Stand
1697,38.812,Stand,Stand
1698,38.834,Stand,Stand
1699,38.856,Stand,Stand
1700,38.879,Stand,Stand
1701,38.9,Stand,Stand
1702,38.922,Stand,Stand
1703,38.944,Stand,Stand
1704,38.967,Stand,Stand
1705,38.988,Stand,Stand
1706,39.011,Stand,Stand
1707,39.032,Stand,Stand
1708,39.054,Stand,Stand
1709,39.076,Stand,Stand
1710,39.098,Stand,Stand
1711,39.12,Stand,Stand
1712,39.142,Stand,Stand
1713,39.167,Stand,Stand
1714,39.186,Stand,Stand
1715,39.209,Stand,Stand
1716,39.231,Stand,Stand
1717,39.253,Stand,Stand
1718,39.275,Stand,Stand
1719,39.297,Stand,Stand
1720,39.319,Stand,Stand
1721,39.341,Stand,Stand
1722,39.364,Stand,Stand
1723,39.385,Stand,Stand
1724,39.408,Stand,Stand
1725,39.429,Stand,Stand
1726,39.451,Stand,Stand
1727,39.473,Stand,Stand
1728,39.496,Stand,Stand
1729,39.518,Stand,Stand
1730,39.54,Stand,Stand
1731,39.562,Stand,Stand
1732,39.584,Stand,Stand
1733,39.606,Stand,Stand
1734,39.627,Stand,Stand
1735,39.649,Stand,Stand
1736,39.672,Stand,Stand
1737,39.693,Stand,Stand
1738,39.715,Stand,Stand
1739,39.737,Stand,Stand
1740,39.76,Stand,Stand
1741,39.781,Stand,Stand
1742,39.804,Stand,Stand
1743,39.826,Stand,Stand
1744,39.848,Stand,Stand
1745,39.87,Stand,Stand
1746,39.892,Stand,Stand
1747,39.915,Stand,Stand
1748,39.936,Stand,Stand
1749,39.958,Stand,Stand
1750,39.98,Stand,Stand
1751,40.002,Stand,Stand
1752,40.025,Stand,Stand
1753,40.047,Stand,Stand
1754,40.068,Stand,Stand
1755,40.091,Stand,Stand
1756,40.113,Stand,Stand
1757,40.135,Stand,Stand
1758,40.158,Stand,Stand
1759,40.182,Stand,Stand
1760,40.201,Stand,Stand
1761,40.231,Stand,Stand
1762,40.25,Stand,Stand
1763,40.267,Stand,Stand
1764,40.288,Stand,Stand
1765,40.312,Stand,Stand
1766,40.333,Stand,Stand
1767,40.355,Stand,Stand
1768,40.379,Stand,Stand
1769,40.399,Stand,Stand
1770,40.425,Stand,Stand
1771,40.443,Stand,Stand
1772,40.465,Stand,Stand
1773,40.487,Stand,Stand
1774,40.509,Stand,Stand
1775,40.532,Stand,Stand
1776,40.554,Stand,Stand
1777,40.575,Stand,Stand
1778,40.599,Stand,Stand
1779,40.619,Stand,Stand
1780,40.642,Stand,Stand
1781,40.665,Stand,Stand
1782,40.686,Stand,Stand
1783,40.708,Stand,Stand
1784,40.73,Stand,Stand
1785,40.755,Stand,Stand
1786,40.777,Stand,Stand
1787,40.796,Stand,Stand
1788,40.821,Stand,Stand
1789,40.841,Stand,Stand
1790,40.862,Stand,Stand
1791,40.885,Stand,Stand
1792,40.907,Stand,Stand
1793,40.929,Stand,Stand
1794,40.951,Stand,Stand
1795,40.973,Stand,Stand
1796,40.997,Stand,Stand
1797,41.017,Stand,Stand
1798,41.039,Stand,Stand
1799,41.07,Stand,Stand
1800,41.09,Stand,Stand
1801,41.112,Stand,Stand
1802,41.134,Stand,Stand
1803,41.157,Stand,Stand
1804,41.179,Stand,Stand
1805,41.201,Stand,Stand
1806,41.224,Stand,Stand
1807,41.246,Stand,Stand
1808,41.274,Stand,Stand
1809,41.29,Stand,Stand
1810,41.311,Stand,Stand
1811,41.333,Stand,Stand
1812,41.355,Stand,Stand
1813,41.378,Stand,Start to walk
1814,41.399,Stand,Start to walk
1815,41.423,Stand,Start to walk
1816,41.443,Stand,Start to walk
1817,41.465,Stand,Start to walk
1818,41.488,Stand,Start to walk
1819,41.51,Stand,Start to walk
1820,41.532,Stand,Start to walk
1821,41.555,Stand,Start to walk
1822,41.577,Stand,Start to walk
1823,41.598,Stand,Start to walk
1824,41.62,Stand,Start to walk
1825,41.642,Stand,Start to walk
1826,41.665,Stand,Stand
1827,41.686,Stand,Stand
1828,41.709,Stand,Stand
1829,41.731,Stand,Start to walk
1830,41.753,Stand,Start to walk
1831,41.775,Start to walk,Start to walk
1832,41.798,Start to walk,Start to walk
1833,41.819,Start to walk,Start to walk
1834,41.841,Start to walk,Start to walk
1835,41.863,Start to walk,Start to walk
1836,41.885,Start to walk,Start to walk
1837,41.907,Start to walk,Start to walk
1838,41.932,Start to walk,Start to walk
1839,41.951,Start to walk,Start to walk
1840,41.973,Start to walk,Walk
1841,41.995,Start to walk,Stand
1842,42.017,Start to walk,Stand
1843,42.07,Start to walk,Stand
1844,42.077,Start to walk,Stand
1845,42.1,Start to walk,Stand
1846,42.122,Start to walk,Stand
1847,42.144,Start to walk,Stand
1848,42.167,Start to walk,Start to walk
1849,42.19,Start to walk,Start to walk
1850,42.211,Start to walk,Stand
1851,42.233,Start to walk,Stand
1852,42.255,Start to walk,Start to walk
1853,42.277,Start to walk,Stand
1854,42.299,Start to walk,Stand
1855,42.321,Start to walk,Stand
1856,42.343,Start to walk,Stand
1857,42.365,Start to walk,Stand
1858,42.388,Start to walk,Stand
1859,42.409,Start to walk,Stand
1860,42.436,Start to walk,Stand
1861,42.453,Start to walk,Stand
1862,42.475,Start to walk,Stand
1863,42.498,Walk,Stand
1864,42.519,Walk,Stand
1865,42.54,Walk,Stand
1866,42.564,Walk,Stand
1867,42.585,Walk,Stand
1868,42.607,Walk,Stand
1869,42.629,Walk,Stand
1870,42.652,Walk,Stand
1871,42.674,Walk,Stand
1872,42.695,Walk,Stand
1873,42.719,Walk,Stand
1874,42.741,Walk,Stand
1875,42.762,Walk,Stand
1876,42.784,Walk,Stand
1877,42.806,Walk,Stand
1878,42.831,Walk,Stand
1879,42.851,Walk,Stand
1880,42.873,Walk,Stand
1881,42.895,Walk,Stand
1882,42.917,Walk,Stand
1883,42.939,Walk,Stand
1884,42.961,Walk,Stand
1885,42.983,Walk,Stand
1886,43.005,Walk,Stand
1887,43.027,Walk,Stand
1888,43.053,Walk,Stand
1889,43.069,Walk,Stand
1890,43.092,Walk,Stand
1891,43.115,Walk,Stand
1892,43.136,Walk,Stand
1893,43.159,Walk,Stand
1894,43.18,Walk,Stand
1895,43.205,Walk,Stand
1896,43.226,Walk,Stand
1897,43.246,Walk,Stand
1898,43.27,Walk,Stand
1899,43.292,Walk,Stand
1900,43.314,Walk,Stand
1901,43.336,Walk,Stand
1902,43.358,Walk,Stand
1903,43.38,Walk,Stand
1904,43.402,Walk,Stand
1905,43.424,Walk,Stand
1906,43.448,Walk,Stand
1907,43.469,Walk,Stand
1908,43.49,Walk,Stand
1909,43.512,Walk,Stand
1910,43.534,Walk,Stand
1911,43.556,Walk,Stand
1912,43.578,Walk,Stand
1913,43.6,Walk,Stand
1914,43.622,Walk,Stand
1915,43.644,Walk,Stand
1916,43.666,Walk,Stand
1917,43.692,Walk,Stand
1918,43.71,Walk,Stand
1919,43.732,Walk,Stand
1920,43.754,Walk,Stand
1921,43.777,Walk,Stand
1922,43.798,Walk,Stand
1923,43.822,Walk,Stand
1924,43.842,Walk,Stand
1925,43.869,Walk,Stand
1926,43.888,Walk,Stand
1927,43.908,Walk,Stand
1928,43.929,Walk,Stand
1929,43.952,Walk,Stand
1930,43.974,Walk,Stand
1931,43.997,Walk,Stand
1932,44.018,Walk,Stand
1933,44.043,Walk,Stand
1934,44.064,Walk,Stand
1935,44.087,Walk,Stand
1936,44.106,Walk,Stand
1937,44.131,Walk,Stand
1938,44.153,Walk,Stand
1939,44.172,Walk,Stand
1940,44.194,Walk,Stand
1941,44.217,Walk,Stand
1942,44.239,Walk,Stand
1943,44.267,Walk,Stand
1944,44.282,Walk,Stand
1945,44.304,Walk,Stand
1946,44.326,Walk,Stand
1947,44.348,Walk,Stand
1948,44.37,Walk,Stand
1949,44.393,Walk,Stand
1950,44.415,Walk,Stand
1951,44.437,Walk,Stand
1952,44.459,Walk,Stand
1953,44.481,Walk,Stand
1954,44.506,Walk,Stand
1955,44.525,Walk,Stand
1956,44.55,Walk,Stand
1957,44.572,Walk,Start to walk
1958,44.591,Walk,Start to walk
1959,44.614,Walk,Start to walk
1960,44.637,Walk,Start to walk
1961,44.658,Walk,Start to walk
1962,44.68,Walk,Start to walk
1963,44.703,Start to Run,Stand
1964,44.724,Start to Run,Stand
1965,44.746,Start to Run,Stand
1966,44.769,Start to Run,Stand
1967,44.79,Start to Run,Stand
1968,44.811,Start to Run,Stand
1969,44.834,Start to Run,Start to walk
1970,44.856,Start to Run,Start to walk
1971,44.878,Start to Run,Start to walk
1972,44.9,Start to Run,Start to walk
1973,44.922,Start to Run,Start to walk
1974,44.946,Start to Run,Start to walk
