,Timestamp,Ground_truth,Predicted_value
402,9.617,Walk,Stand
403,9.639,Walk,Stand
404,9.661,Walk,Stand
405,9.687,Walk,Stand
406,9.705,Walk,Stand
407,9.728,Walk,Stand
408,9.749,Walk,Stand
409,9.771,Walk,Stand
410,9.793,Walk,Stand
411,9.815,Walk,Stand
412,9.837,Walk,Stand
413,9.86,Walk,Stand
414,9.882,Walk,Stand
415,9.904,Walk,Stand
416,9.926,Walk,Stand
417,9.948,Walk,Stand
418,9.97,Walk,Stand
419,9.992,Walk,Stand
420,10.014,Walk,Stand
421,10.036,Walk,Stand
422,10.058,Walk,Stand
423,10.081,Walk,Stand
424,10.104,Walk,Stand
425,10.133,Walk,Stand
426,10.159,Walk,Stand
427,10.177,Walk,Stand
428,10.2,Walk,Stand
429,10.222,Walk,Stand
430,10.244,Walk,Stand
431,10.266,Walk,Stand
432,10.288,Walk,Stand
433,10.31,Walk,Stand
434,10.332,Walk,Stand
435,10.354,Walk,Stand
436,10.377,Walk,Stand
437,10.398,Walk,Stand
438,10.421,Walk,Stand
439,10.442,Walk,Stand
440,10.465,Walk,Stand
441,10.487,Walk,Stand
442,10.509,Walk,Stand
443,10.531,Walk,Stand
444,10.553,Walk,Stand
445,10.575,Walk,Stand
446,10.598,Walk,Stand
447,10.62,Walk,Stand
448,10.641,Walk,Stand
449,10.665,Walk,Stand
450,10.689,Walk,Stand
451,10.708,Start to Run,Stand
452,10.732,Start to Run,Stand
453,10.752,Start to Run,Stand
454,10.774,Start to Run,Stand
455,10.796,Start to Run,Stand
456,10.819,Start to Run,Stand
457,10.84,Start to Run,Stand
458,10.863,Start to Run,Stand
459,10.885,Start to Run,Stand
460,10.907,Start to Run,Stand
461,10.929,Start to Run,Stand
462,10.951,Start to Run,Stand
463,10.973,Start to Run,Stand
464,10.995,Start to Run,Stand
465,11.017,Start to Run,Stand
466,11.04,Start to Run,Stand
467,11.062,Run,Stand
468,11.084,Run,Stand
469,11.106,Run,Stand
470,11.128,Run,Stand
471,11.15,Run,Stand
472,11.172,Run,Stand
473,11.194,Run,Stand
474,11.216,Run,Stand
475,11.238,Run,Stand
476,11.261,Run,Stand
477,11.283,Run,Stand
478,11.305,Run,Stand
479,11.327,Run,Stand
480,11.349,Run,Stand
481,11.371,Run,Stand
482,11.393,Run,Stand
